time,ohc_mean,ohc_min,ohc_max
19840416,-1.6149726843745608e+23,-1.7142013881783412e+23,-1.4808057076835863e+23
19840516,-1.6240094602692547e+23,-1.72167755871576e+23,-1.4907490101448738e+23
19840616,-1.6302906697007454e+23,-1.727557098101285e+23,-1.4966394782654944e+23
19840716,-1.641735762009374e+23,-1.739502205560942e+23,-1.508434510773569e+23
19840816,-1.6506284512387896e+23,-1.7502822017730013e+23,-1.5190427847318364e+23
19840916,-1.6593006367244496e+23,-1.7588132804751367e+23,-1.5270904170259725e+23
19841016,-1.6687514165232886e+23,-1.7679882238039983e+23,-1.5355129289530905e+23
19841116,-1.674145287724998e+23,-1.7743307632552145e+23,-1.5413973022022154e+23
19850016,-1.6748882300423267e+23,-1.775201684363154e+23,-1.543835948858441e+23
19850116,-1.6753554514820686e+23,-1.7732015306846476e+23,-1.5460446942596885e+23
19850216,-1.6715145190098686e+23,-1.7650949462713893e+23,-1.5475873647820473e+23
19850316,-1.6718614267855653e+23,-1.7630407944333505e+23,-1.5535577492780553e+23
19850416,-1.668602408924818e+23,-1.760630588008772e+23,-1.5556470291931877e+23
19850516,-1.6628890463607434e+23,-1.7557572128279967e+23,-1.5549349950801015e+23
19850616,-1.6624787654322903e+23,-1.7566604247452647e+23,-1.5604921968282968e+23
19850716,-1.6611074193457553e+23,-1.7574980942759556e+23,-1.5630536941763575e+23
19850816,-1.6594443991305548e+23,-1.7550323884919692e+23,-1.5654914776426542e+23
19850916,-1.6516614854201157e+23,-1.7467874835221554e+23,-1.5641799994071665e+23
19851016,-1.6465521336284658e+23,-1.7410240319230258e+23,-1.5665786616047003e+23
19851116,-1.644732099915856e+23,-1.7394411067259976e+23,-1.569971748623955e+23
19860016,-1.6429001316642337e+23,-1.736434008218806e+23,-1.5737527156671164e+23
19860116,-1.6408978612939022e+23,-1.7306561300888696e+23,-1.5778718279822995e+23
19860216,-1.6446174082453458e+23,-1.7300602438101737e+23,-1.5858495193742224e+23
19860316,-1.6479020455831734e+23,-1.729859683506768e+23,-1.5917108041692574e+23
19860416,-1.64376082059382e+23,-1.7206212394231604e+23,-1.588932338403149e+23
19860516,-1.6393274981374345e+23,-1.7120043521361248e+23,-1.585388696048351e+23
19860616,-1.637609455944386e+23,-1.7062507634201787e+23,-1.5844619453170307e+23
19860716,-1.6389471271153067e+23,-1.7012136974049476e+23,-1.58673073871331e+23
19860816,-1.6443425775792853e+23,-1.7022896073559265e+23,-1.591037996408926e+23
19860916,-1.6488601924086963e+23,-1.705148447363385e+23,-1.5937400210773595e+23
19861016,-1.649336916443652e+23,-1.7047707154506385e+23,-1.5911685407501246e+23
19861116,-1.6475632247712078e+23,-1.6987667265954107e+23,-1.590245528006495e+23
19870016,-1.6486574313462727e+23,-1.696572512808961e+23,-1.5915314858440944e+23
19870116,-1.6507893723594748e+23,-1.697294139589253e+23,-1.5923011059844157e+23
19870216,-1.6499973002738113e+23,-1.6965698706971794e+23,-1.5920573711725825e+23
19870316,-1.6437796906762587e+23,-1.690441042060281e+23,-1.58748840930262e+23
19870416,-1.639570671500514e+23,-1.6871244411746978e+23,-1.5838559709751695e+23
19870516,-1.6306286873707774e+23,-1.6775239677290444e+23,-1.5761588238160343e+23
19870616,-1.6203589099653026e+23,-1.665771344117461e+23,-1.566334071108938e+23
19870716,-1.6087036061392667e+23,-1.653307962412686e+23,-1.555947569408321e+23
19870816,-1.59465274609824e+23,-1.6400791639272415e+23,-1.5425361124279897e+23
19870916,-1.586360014401584e+23,-1.6319849944369562e+23,-1.5346784194481383e+23
19871016,-1.5833627112235818e+23,-1.630062587900017e+23,-1.531234599379081e+23
19871116,-1.579393427663202e+23,-1.6283849970388213e+23,-1.5252281185320596e+23
19880016,-1.573130011953839e+23,-1.6226508038252704e+23,-1.5185255237966348e+23
19880116,-1.5671473101128504e+23,-1.6155698842031483e+23,-1.514228849560143e+23
19880216,-1.5577645106491867e+23,-1.609414033968486e+23,-1.5011934056187007e+23
19880316,-1.5486866304006937e+23,-1.6053341329940584e+23,-1.487840172675552e+23
19880416,-1.5451374230979564e+23,-1.602095849705995e+23,-1.4828262776804037e+23
19880516,-1.5472715588653773e+23,-1.6041185664186348e+23,-1.4842541139182639e+23
19880616,-1.5461539245650507e+23,-1.603832137482334e+23,-1.4834247910588825e+23
19880716,-1.543682068365173e+23,-1.601674823188831e+23,-1.4819130377479655e+23
19880816,-1.539451367359623e+23,-1.596231397379222e+23,-1.4787437946421899e+23
19880916,-1.5312269702813124e+23,-1.586973400167232e+23,-1.4715028396073092e+23
19881016,-1.5185584376039113e+23,-1.571397873493957e+23,-1.4626127114248817e+23
19881116,-1.5069151989212769e+23,-1.557327847634116e+23,-1.4551088887857506e+23
19890016,-1.497436761015927e+23,-1.548328867448695e+23,-1.4474953359416989e+23
19890116,-1.4876377133543035e+23,-1.5423229420456277e+23,-1.43625739870753e+23
19890216,-1.4815915858185628e+23,-1.53788638600471e+23,-1.4299435171619428e+23
19890316,-1.48219845337435e+23,-1.5360698140590137e+23,-1.4331824684839508e+23
19890416,-1.4821527883753285e+23,-1.535029992953049e+23,-1.4342845668667628e+23
19890516,-1.4818167267687344e+23,-1.5355449945824374e+23,-1.433760092666158e+23
19890616,-1.4812855091782874e+23,-1.5370304318595318e+23,-1.4310656940930936e+23
19890716,-1.4822190828630432e+23,-1.5395752658889712e+23,-1.4290413635905874e+23
19890816,-1.4845569464656075e+23,-1.542428701576877e+23,-1.4301239013390179e+23
19890916,-1.4883084074252103e+23,-1.5493331026116042e+23,-1.4296484563263564e+23
19891016,-1.4941037700300996e+23,-1.5590023835535645e+23,-1.4299063774770159e+23
19891116,-1.4996639921924448e+23,-1.5672341680364634e+23,-1.430140542139641e+23
19900016,-1.5053586498060665e+23,-1.5758414101142972e+23,-1.430268459381057e+23
19900116,-1.511188230760925e+23,-1.5826107256782015e+23,-1.4322009689931604e+23
19900216,-1.515794135658631e+23,-1.585143700228622e+23,-1.4359776651226752e+23
19900316,-1.5160185395196636e+23,-1.5853017315395465e+23,-1.4334250773958773e+23
19900416,-1.5080248108094676e+23,-1.581237968463784e+23,-1.41929892917868e+23
19900516,-1.496697493635894e+23,-1.5731134747360075e+23,-1.4028284847174508e+23
19900616,-1.4866155388528788e+23,-1.5634032185434377e+23,-1.3904556403771844e+23
19900716,-1.474690280257979e+23,-1.5535168941234358e+23,-1.3775927968914608e+23
19900816,-1.4621102898504522e+23,-1.54459326666578e+23,-1.3622327524483566e+23
19900916,-1.4525399529923056e+23,-1.5366284405567927e+23,-1.3525320288749981e+23
19901016,-1.4416284426639282e+23,-1.5281386373452422e+23,-1.340479570612223e+23
19901116,-1.4282318700803653e+23,-1.5196641613844236e+23,-1.3230805514618243e+23
19910016,-1.4127530251826906e+23,-1.5080039366251948e+23,-1.3046666236173995e+23
19910116,-1.3916236759621408e+23,-1.4876062331929083e+23,-1.2832538088291038e+23
19910216,-1.3752143858802515e+23,-1.4727560037336219e+23,-1.2657996881372642e+23
19910316,-1.3633062334579366e+23,-1.4624838784515413e+23,-1.2523134714031188e+23
19910416,-1.3569492914951122e+23,-1.4546265907956563e+23,-1.248848424367818e+23
