time,ohc_mean,ohc_min,ohc_max
19880916,-2.205425392638285e+23,-2.3703447490247962e+23,-1.9862838526621372e+23
19881016,-2.193397665142263e+23,-2.3550396860271425e+23,-1.9777758924380888e+23
19881116,-2.1819331247892438e+23,-2.3404901018669807e+23,-1.970561095811044e+23
19890016,-2.1726560488280324e+23,-2.3281721113701756e+23,-1.9644820019260303e+23
19890116,-2.1630010037644946e+23,-2.316051108321072e+23,-1.9551682876806505e+23
19890216,-2.15704072384485e+23,-2.308288223619376e+23,-1.9503619861103256e+23
19890316,-2.1571383949111685e+23,-2.3067137351656498e+23,-1.9543963707045192e+23
19890416,-2.1566869720989197e+23,-2.3043436408017524e+23,-1.956522399992611e+23
19890516,-2.1564804610392064e+23,-2.3022420660596373e+23,-1.9575788243692017e+23
19890616,-2.156046845459884e+23,-2.3002266301663953e+23,-1.9565069826698864e+23
19890716,-2.1569757489118265e+23,-2.3004594362431327e+23,-1.9577329825844466e+23
19890816,-2.1591140850364995e+23,-2.3015324488783514e+23,-1.961428516342677e+23
19890916,-2.162457863644634e+23,-2.3060328209259887e+23,-1.9653698265445713e+23
19891016,-2.1686474728621035e+23,-2.314077330724383e+23,-1.972492389451248e+23
19891116,-2.175847608771162e+23,-2.322376353949719e+23,-1.9815974068898955e+23
19900016,-2.182938775583636e+23,-2.3314424903115833e+23,-1.9912695626296177e+23
19900116,-2.1902283049428975e+23,-2.341078286990314e+23,-2.0016238185569027e+23
19900216,-2.196658862745231e+23,-2.3483441994731297e+23,-2.0126883822174164e+23
19900316,-2.199418929805662e+23,-2.3512110108519287e+23,-2.0174125981785333e+23
19900416,-2.1938672224490122e+23,-2.3477661024129616e+23,-2.0128618308510653e+23
19900516,-2.1847646219421643e+23,-2.3408711964674487e+23,-2.0041016240118882e+23
19900616,-2.1768065632422175e+23,-2.333808801651794e+23,-1.9976454137060772e+23
19900716,-2.1666836362109926e+23,-2.3234290253266205e+23,-1.987012820309822e+23
19900816,-2.1560998318107e+23,-2.3143957952660333e+23,-1.975892081749956e+23
19900916,-2.1481684254133477e+23,-2.307001184917866e+23,-1.9705573428113543e+23
19901016,-2.1383110366209517e+23,-2.2982879806467997e+23,-1.9622396746835614e+23
19901116,-2.1253307227437477e+23,-2.288673035634344e+23,-1.9493530296738072e+23
19910016,-2.1108620682688896e+23,-2.276274445716208e+23,-1.9340401754487982e+23
19910116,-2.091019694699455e+23,-2.2552715485659954e+23,-1.915143551796312e+23
19910216,-2.075124356908241e+23,-2.2390451241445757e+23,-1.9010178013970817e+23
19910316,-2.0630962090762545e+23,-2.2269596845205296e+23,-1.8915144856073896e+23
19910416,-2.056819851522762e+23,-2.2173805881611074e+23,-1.88586814261057e+23
19910516,-2.053781975415717e+23,-2.21098017745468e+23,-1.884450979903827e+23
19910616,-2.051203916830627e+23,-2.2055781997736415e+23,-1.883740777254589e+23
19910716,-2.0522918093590142e+23,-2.2028247590094623e+23,-1.886873165903414e+23
19910816,-2.0546793866966656e+23,-2.1991608104966188e+23,-1.890099004244507e+23
19910916,-2.0590715792788535e+23,-2.1957608780059302e+23,-1.894085560610658e+23
19911016,-2.0642237693101595e+23,-2.1923285646339212e+23,-1.899566921741128e+23
19911116,-2.075339989258399e+23,-2.1938672644826086e+23,-1.9106193106706494e+23
19920016,-2.085499179273824e+23,-2.1948654873400153e+23,-1.9226970791633305e+23
19920116,-2.099802233387984e+23,-2.2038831499578906e+23,-1.9406219761362177e+23
19920216,-2.1111767047508566e+23,-2.20842567569804e+23,-1.9577629315219686e+23
19920316,-2.1189295524301826e+23,-2.2094251145273462e+23,-1.968236352695394e+23
19920416,-2.1268500300924395e+23,-2.2121103557811685e+23,-1.9788783285908728e+23
19920516,-2.1336836330398245e+23,-2.2127781795579124e+23,-1.9882577803788137e+23
19920616,-2.141722231113108e+23,-2.215572783222686e+23,-1.9982424108726815e+23
19920716,-2.150316041955653e+23,-2.2203659042581013e+23,-2.009626024542797e+23
19920816,-2.1580613325948048e+23,-2.2243206201748868e+23,-2.01985509541244e+23
19920916,-2.1606134504460415e+23,-2.2237303784077236e+23,-2.0242896248335254e+23
19921016,-2.162894523657305e+23,-2.2232058441591238e+23,-2.029891202050049e+23
19921116,-2.162455431700835e+23,-2.2199539600001857e+23,-2.0338544597941274e+23
19930016,-2.1626851032722324e+23,-2.2171025809561098e+23,-2.0354672288446862e+23
19930116,-2.1631381533851466e+23,-2.213306827094172e+23,-2.0371236227636357e+23
19930216,-2.1606217400717555e+23,-2.208303913376115e+23,-2.0348974334198313e+23
19930316,-2.1561623838071245e+23,-2.2016216373810088e+23,-2.0331880021092703e+23
19930416,-2.1529444507845774e+23,-2.1960471568222436e+23,-2.0315772746905427e+23
19930516,-2.146735262918328e+23,-2.188873808323769e+23,-2.026634228823532e+23
19930616,-2.1410262418242945e+23,-2.1824291872809993e+23,-2.0238071391934464e+23
19930716,-2.128763711655701e+23,-2.1696827243156466e+23,-2.0139581120843587e+23
19930816,-2.1177790778813734e+23,-2.15888831658478e+23,-2.0069940158365706e+23
19930916,-2.1084498802604748e+23,-2.1495575186848134e+23,-2.002599613488165e+23
19931016,-2.0993355163514004e+23,-2.1392510609615734e+23,-1.9967560278396656e+23
