Time (years),Mean Sea Level (cm),90% C.L. uncertainty,OLS fit
2020.6392881587954,9.660046556279223,0.415032017897072,9.64110176576993
2020.6420260095824,9.661166452998286,0.4149522870120573,9.642380693010109
2020.6447638603695,9.662294298659585,0.4150312909617301,9.64365970069138
2020.6475017111568,9.663430628355488,0.4151097625803215,9.64493878881374
2020.6502395619439,9.664575953246079,0.4150286807914391,9.646217957377193
2020.652977412731,9.665730758499247,0.4150546648939196,9.647497206381733
2020.6557152635182,9.666895502368954,0.41500061954676365,9.648776535827364
2020.6584531143053,9.668070610149899,0.41489018869819094,9.650055945714088
2020.6611909650924,9.669256472672012,0.41494207621188667,9.651335436041903
2020.6639288158794,9.670453442029281,0.41507918703931107,9.652615006810805
2020.6666666666667,9.671661830006693,0.4152043978239279,9.6538946580208
2020.6694045174538,9.67288190864251,0.41523877992583474,9.655174389671883
2020.6721423682409,9.67411391110785,0.415045412264029,9.65645420176406
2020.674880219028,9.675358034712376,0.4152043313302525,9.657734094297325
2020.6776180698153,9.676614440961428,0.4151365769201838,9.65901406727168
2020.6803559206023,9.677883259288423,0.41503311057588443,9.66029412068713
2020.6830937713894,9.67916458820604,0.4150401985518822,9.661574254543666
2020.6858316221767,9.680458497246226,0.41501600552736073,9.662854468841294
2020.6885694729638,9.681765027437637,0.4153674176588523,9.664134763580012
2020.6913073237508,9.683084191910817,0.4154563830766276,9.66541513875982
2020.694045174538,9.684415975218158,0.4152771571628594,9.666695594380721
2020.6967830253252,9.685760332639694,0.4154261489139957,9.66797613044271
2020.6995208761123,9.687117187827432,0.4151729755672295,9.669256746945791
2020.7022587268993,9.688486429139319,0.4154269529718057,9.670537443889963
2020.7049965776864,9.689867906203995,0.41548653201861385,9.671818221275224
2020.7077344284737,9.691261432410744,0.41544207201540656,9.673099079101576
2020.7104722792608,9.692666784117733,0.4156265759375699,9.674380017369018
2020.7132101300479,9.694083701369518,0.4155527451797049,9.675661036077551
2020.7159479808352,9.695511888104788,0.41565520475061885,9.676942135227176
2020.7186858316222,9.696951013109127,0.4157942976983938,9.67822331481789
2020.7214236824093,9.698400711919069,0.41567918005454857,9.679504574849693
2020.7241615331964,9.699860592525491,0.4158614348957405,9.68078591532259
2020.7268993839837,9.701330236417,0.41589948683524564,9.682067336236575
2020.7296372347707,9.702809199701665,0.4157160723053184,9.683348837591652
2020.7323750855578,9.704297018915556,0.4161253578578162,9.684630419387817
2020.7351129363449,9.705793216788342,0.41617236198862473,9.685912081625073
2020.7378507871322,9.707297307780411,0.4160540996554665,9.687193824303423
2020.7405886379192,9.70880880069737,0.41618861927655326,9.68847564742286
2020.7433264887063,9.71032720633417,0.4164886802002593,9.689757550983389
2020.7460643394934,9.711852038439618,0.41637773900345054,9.69103953498501
2020.7488021902807,9.713382816874578,0.416391743292113,9.69232159942772
2020.7515400410678,9.714919069900322,0.41668284915751713,9.693603744311519
2020.7542778918548,9.71646033514358,0.41665325856601754,9.69488596963641
2020.7570157426421,9.718006159535559,0.4167868595609964,9.696168275402389
2020.7597535934292,9.719556093258538,0.41677004101904647,9.697450661609462
2020.7624914442163,9.72110968669283,0.4168601300230184,9.698733128257626
2020.7652292950033,9.722666486333484,0.41705123575960446,9.700015675346878
2020.7679671457906,9.724226030435029,0.417043158066643,9.701298302877222
2020.7707049965777,9.725787846334683,0.4171839909847624,9.702581010848656
2020.7734428473648,9.727351447124759,0.41717899265245584,9.70386379926118
2020.7761806981518,9.728916329690684,0.41746967181695177,9.705146668114795
2020.7789185489391,9.730481971670061,0.4175174602596511,9.7064296174095
2020.7816563997262,9.732047830114269,0.4174507152958133,9.707712647145296
2020.7843942505133,9.73361334188179,0.41765227219198736,9.708995757322182
2020.7871321013006,9.735177923749962,0.41773732443004835,9.710278947940159
2020.7898699520877,9.736740971313491,0.41782272358621414,9.711562218999228
2020.7926078028747,9.738301859807532,0.4178374353927308,9.712845570499386
2020.7953456536618,9.739859947643916,0.4182186527024093,9.714129002440634
2020.798083504449,9.741414578294284,0.41789887179356544,9.715412514822972
2020.8008213552362,9.74296508470857,0.41820379121825946,9.716696107646401
2020.8035592060232,9.744510791240941,0.4183194833054489,9.717979780910923
2020.8062970568103,9.7460510172432,0.41853320688427004,9.719263534616532
2020.8090349075976,9.747585076113094,0.4185527835754641,9.720547368763233
2020.8117727583847,9.749112273989521,0.41865414381649824,9.721831283351024
2020.8145106091717,9.750631912954447,0.41862831839097625,9.723115278379906
2020.817248459959,9.752143292631123,0.4186091017414569,9.724399353849881
2020.8199863107461,9.753645706989657,0.4187945259785924,9.725683509760943
2020.8227241615332,9.755138443461,0.4188226326547956,9.726967746113097
2020.8254620123203,9.756620785469007,0.41909798884431976,9.728252062906343
2020.8281998631076,9.75809201263777,0.4190397869328529,9.729536460140677
2020.8309377138946,9.759551401351391,0.4190129076287305,9.730820937816102
2020.8336755646817,9.760998227599567,0.41915705307555956,9.732105495932617
2020.8364134154688,9.76243177296913,0.41921464082977433,9.733390134490222
2020.839151266256,9.763851329212299,0.4193432394546223,9.73467485348892
2020.8418891170431,9.765256202588041,0.41947126648080696,9.735959652928708
2020.8446269678302,9.76664571632557,0.41946833517292514,9.737244532809585
2020.8473648186173,9.76801921422274,0.4196217623612379,9.738529493131555
2020.8501026694046,9.769376065156504,0.4197148959684987,9.739814533894613
2020.8528405201916,9.770715665591771,0.41974967681766834,9.741099655098761
2020.8555783709787,9.77203744314203,0.4199158184352892,9.742384856744001
2020.858316221766,9.773340854434192,0.41965558707728295,9.743670138830332
2020.861054072553,9.774625386436968,0.4198771245879671,9.744955501357754
2020.8637919233402,9.775890555995323,0.42006076531421355,9.746240944326265
2020.8665297741272,9.777135906457124,0.41979908216088735,9.747526467735867
2020.8692676249145,9.778361004526325,0.4202646400070421,9.74881207158656
2020.8720054757016,9.779565440357398,0.42031734151367517,9.750097755878343
2020.8747433264887,9.780748824909022,0.42031446036487136,9.751383520611215
2020.8774811772757,9.78191079106252,0.4202319921060646,9.752669365785179
2020.880219028063,9.783050993624098,0.42053724448461516,9.753955291400233
2020.88295687885,9.784169108700985,0.42033827750309566,9.75524129745638
2020.8856947296372,9.785264832474363,0.42027790959341776,9.756527383953616
2020.8884325804243,9.786337885411879,0.4204223192199128,9.75781355089194
2020.8911704312115,9.787388012591945,0.42068464602674654,9.75909979827136
2020.8939082819986,9.78841498366956,0.4207046599828336,9.760386126091865
2020.8966461327857,9.789418596448332,0.4211015911295034,9.761672534353462
2020.899383983573,9.790398682207318,0.42059505818314635,9.76295902305615
2020.90212183436,9.79135511034329,0.42073246182955476,9.764245592199929
2020.9048596851471,9.792287793828981,0.42099800530394754,9.765532241784799
2020.9075975359342,9.793196694033307,0.42098288960805375,9.766818971810759
2020.9103353867215,9.794081827222998,0.4209504643574507,9.768105782277807
2020.9130732375086,9.794943261934785,0.4209422984404527,9.76939267318595
2020.9158110882956,9.795781115075675,0.4212353114175623,9.77067964453518
2020.9185489390827,9.796595550242207,0.4211839259194741,9.771966696325503
2020.92128678987,9.79738677370594,0.42123554467867047,9.773253828556914
2020.924024640657,9.798155033278286,0.42128050517930754,9.774541041229417
2020.9267624914442,9.798900615048217,0.4214311290045678,9.77582833434301
2020.9295003422314,9.799623842027241,0.42151131628859234,9.777115707897694
2020.9322381930185,9.800325067240136,0.42169432935376744,9.778403161893468
2020.9349760438056,9.801004670696441,0.421662490609042,9.779690696330334
2020.9377138945927,9.801663059024593,0.4216823550352743,9.78097831120829
2020.94045174538,9.80230066313491,0.4218344064818105,9.782266006527335
