time,ohc_mean,ohc_min,ohc_max
19860616,-5.70220479466646e+22,-7.796350012277107e+22,-3.4221007467841145e+22
19860716,-5.7498457104946335e+22,-7.838188978235336e+22,-3.4852878633459893e+22
19860816,-5.799827162061148e+22,-7.880925436539306e+22,-3.5494963024783592e+22
19860916,-5.858810735073826e+22,-7.929401169618405e+22,-3.6257925906605757e+22
19861016,-5.926327604811455e+22,-7.984187459085368e+22,-3.7124366683516126e+22
19861116,-5.994050968344999e+22,-8.036366089308088e+22,-3.7972313991506655e+22
19870016,-6.057543549057599e+22,-8.083977619148693e+22,-3.8768648358917654e+22
19870116,-6.1150322835289595e+22,-8.125318637108122e+22,-3.9516703012423335e+22
19870216,-6.169644426304331e+22,-8.162850510502721e+22,-4.0266297521701604e+22
19870316,-6.221456185795406e+22,-8.195930650725657e+22,-4.0999309777151896e+22
19870416,-6.2669116098084075e+22,-8.222813537621357e+22,-4.168317687696848e+22
19870516,-6.313709864616303e+22,-8.249892706400817e+22,-4.237967244544018e+22
19870616,-6.364390830288941e+22,-8.279003223792202e+22,-4.310341816935719e+22
19870716,-6.4165222290105695e+22,-8.309655473456024e+22,-4.3851719957892425e+22
19870816,-6.464976832701418e+22,-8.336218679838173e+22,-4.458171630279226e+22
19870916,-6.504495814347602e+22,-8.355045002300477e+22,-4.5181649816353535e+22
19871016,-6.537775666696016e+22,-8.368413037074401e+22,-4.5690175269477944e+22
19871116,-6.568274343612545e+22,-8.377467674245217e+22,-4.618263338033178e+22
19880016,-6.59839693243019e+22,-8.386311843193447e+22,-4.666839051024006e+22
19880116,-6.626662867265456e+22,-8.390297153563701e+22,-4.714957160762695e+22
19880216,-6.654925672098981e+22,-8.393984700938592e+22,-4.765421420727263e+22
19880316,-6.680552452516611e+22,-8.39546683557596e+22,-4.813622771999066e+22
19880416,-6.701804826568182e+22,-8.392664095407859e+22,-4.856253245591805e+22
19880516,-6.712974781965976e+22,-8.380610886545145e+22,-4.889811743155162e+22
19880616,-6.7201979853123246e+22,-8.364672647463881e+22,-4.9197542255177104e+22
19880716,-6.728219316584638e+22,-8.35002333859597e+22,-4.949089472530501e+22
19880816,-6.735015135832348e+22,-8.334788561776502e+22,-4.9741482514571285e+22
19880916,-6.745522123834996e+22,-8.322479473394961e+22,-5.002823458414531e+22
19881016,-6.751829760389099e+22,-8.306441554641944e+22,-5.027755536071641e+22
19881116,-6.753460626404162e+22,-8.28805215640349e+22,-5.047465990200791e+22
19890016,-6.755465801596253e+22,-8.271073435688315e+22,-5.068081742915037e+22
19890116,-6.756827007077625e+22,-8.255970764457917e+22,-5.087204852592783e+22
19890216,-6.7576020240315e+22,-8.241395014383919e+22,-5.102183224473467e+22
19890316,-6.752462373522757e+22,-8.22200724316807e+22,-5.110112074327431e+22
19890416,-6.748409103834126e+22,-8.206061272907445e+22,-5.119778675627613e+22
19890516,-6.7495540389553946e+22,-8.19697773763902e+22,-5.133138641452204e+22
19890616,-6.750406780532839e+22,-8.18902408045711e+22,-5.14523013091175e+22
19890716,-6.750274352185795e+22,-8.179980326985393e+22,-5.154981174704945e+22
19890816,-6.748180358503053e+22,-8.167257207678109e+22,-5.1643829643470375e+22
19890916,-6.7440541605244564e+22,-8.152481722960637e+22,-5.1732312240649295e+22
19891016,-6.747991147270709e+22,-8.146280116153761e+22,-5.189639751537282e+22
19891116,-6.764477361836633e+22,-8.1522428820604e+22,-5.219622315936513e+22
19900016,-6.778467989235045e+22,-8.155149955619867e+22,-5.248768449294951e+22
19900116,-6.793085915519551e+22,-8.15888148815112e+22,-5.2781444163543725e+22
19900216,-6.811307562177886e+22,-8.165863268533443e+22,-5.310715574759423e+22
19900316,-6.83666370628191e+22,-8.178514555426671e+22,-5.348289256570563e+22
19900416,-6.8610026523620956e+22,-8.186354196478016e+22,-5.383175865664032e+22
19900516,-6.883247529699547e+22,-8.190262345174656e+22,-5.418181444847657e+22
19900616,-6.904485417172315e+22,-8.191486723793349e+22,-5.453907074551705e+22
19900716,-6.9225238799158054e+22,-8.188273030159252e+22,-5.4890538415836484e+22
19900816,-6.942565641351544e+22,-8.18858220227367e+22,-5.526171308752536e+22
19900916,-6.959081954974977e+22,-8.18464530559941e+22,-5.560482057573651e+22
19901016,-6.969701487932313e+22,-8.174616389709208e+22,-5.5910953135706995e+22
19901116,-6.974002260444465e+22,-8.159538563336753e+22,-5.6145433800905975e+22
19910016,-6.984292475185049e+22,-8.151107074234377e+22,-5.6415713954842894e+22
19910116,-6.997316735187417e+22,-8.145600598029985e+22,-5.673200400847294e+22
19910216,-7.002702740101778e+22,-8.133899870898106e+22,-5.699240288952744e+22
19910316,-7.001711100005826e+22,-8.117437187640235e+22,-5.718845584030595e+22
19910416,-7.002755995167371e+22,-8.104103305163486e+22,-5.7418267773891225e+22
19910516,-7.0077646434689526e+22,-8.096000428713921e+22,-5.765797861945746e+22
